"school","city","state","region","conference","division"
"Morris College","Sumter","South Carolina","South East","Continental Athletic Conference","NAIA"
"Morton College","Cicero","Illinois","Great Lakes","Illinois Skyway Collegiate Conference ","JC"
"Motlow State Community College","Tullahoma","Tennessee","Mid East","Tennessee Community College Athletic Association ","JC"
"Mott Community College","Flint","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Mount Marty University","Yankton","South Dakota","North West","Great Plains Athletic Conference","NAIA"
"Mount Mercy University","Cedar Rapids","Iowa","Mid West","Heart of America Athletic Conference","NAIA"
"Mount Saint Mary College – New York","Newburgh","New York","North East","Skyline Conference","NCAA D3"
"Mount St. Joseph University","Cincinnati","Ohio","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Mount St. Mary's University","Emmitsburg","Maryland","North East","Northeast Conference","NCAA D1"
"Mount Vernon Nazarene University","Mount Vernon","Ohio","Great Lakes","Crossroads League","NAIA"
"Mountain View College","Dallas","Texas","Mid South","NJCAA Region 5","JC"
"Muhlenberg College","Allentown","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Multnomah University","Portland","Oregon","West Coast","Cascade Collegiate Conference","NAIA"
"Murray State College","Tishomingo","Oklahoma","Mid South","NJCAA Region 2","JC"
"Murray State University","Murray","Kentucky","Mid East","Ohio Valley Conference","NCAA D1"
"Muskegon Community College","Muskegon","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Muskingum University","New Concord","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Nassau Community College","Garden City","New York","North East","North Eastern Athletic","JC"
"Navarro College","Corsicana","Texas","Mid South","Southwest Junior College Conference","JC"
"Nazareth College","Rochester","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Nebraska Wesleyan University","Lincoln","Nebraska","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Neosho County Community College","Chanute","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Neumann University","Aston","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"New England College","Henniker","New Hampshire","New England","New England Collegiate Conference","NCAA D3"
"New Jersey City University","Jersey City","New Jersey","North East","Eastern College Athletic Conference","NCAA D3"
"New Jersey Institute of Technology","Newark","New Jersey","North East","America East Conference ","NCAA D1"
"New Mexico Highlands University","Las Vegas","New Mexico","South West","Rocky Mountain Athletic Conference","NCAA D2"
"New Mexico Junior College","Hobbs","New Mexico","South West","Western Junior College Athletic Conference","JC"
"New Mexico Military Institute","Roswell","New Mexico","South West","Western Junior College Athletic Conference","JC"
"New Mexico State University","Las Cruces","New Mexico","South West","Western Athletic Conference","NCAA D1"
"New York Tech","Old Westbury","New York","North East","East Coast Conference","NCAA D2"
"New York University","New York","New York","North East","University Athletic Association","NCAA D3"
"Newberry College","Newberry","South Carolina","South East","South Atlantic Conference","NCAA D2"
"Newman University","Wichita","Kansas","Mid West","Heartland Conference","NCAA D2"
"Niagara University","Niagara University","New York","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Nicholls State University","Thibodaux","Louisiana","Mid South","Southland Conference","NCAA D1"
"Nichols College","Dudley","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Norfolk State University","Norfolk","Virginia","Mid East","Mid-Eastern Athletic Conference","NCAA D1"
"North American University","Stafford","Texas","Mid South","Independent","NAIA"
"North Arkansas College","Harrison","Arkansas","Mid South","NJCAA Region 2","JC"
"North Carolina A&T State University","Greensboro","North Carolina","Mid East","Big South Conference","NCAA D1"
"North Carolina Central University","Durham","North Carolina","Mid East","Mid-Eastern Athletic Conference","NCAA D1"
"North Carolina State University","Raleigh","North Carolina","Mid East","Atlantic Coast Conference","NCAA D1"
"North Carolina Wesleyan College","Rocky Mount","North Carolina","Mid East","USA South Athletic Conference","NCAA D3"
"North Central College","Naperville","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"North Central Missouri College","Trenton","Missouri","Mid West","NJCAA Region 16","JC"
"North Central University","Minneapolis","Minnesota","Mid West","Upper Midwest Athletic Conference","NCAA D3"
"North Dakota State College of Science","Wahpeton","North Dakota","North West","Mon-Dak Athletic Conference","JC"
"North Dakota State University","Fargo","North Dakota","North West","Missouri Valley Conference","NCAA D1"
"North Greenville University","Tigerville","South Carolina","South East","Gulf South Conference","NCAA D2"
"North Iowa Area Community College","Mason City","Iowa","Mid West","Iowa Junior College Conference","JC"
"North Lake College","Irving","Texas","Mid South","NJCAA Region 5","JC"
"North Park University","Chicago","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"North Platte Community College","North Platte","Nebraska","Mid West","NJCAA Region 9","JC"
"Northampton County Area Community College","Bethlehem","Pennsylvania","North East","NJCAA Region 19","JC"
"Northeast Community College","Norfolk","Nebraska","Mid West","Nebraska Community College Conference","JC"
"Northeast Mississippi Community College","Booneville","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Northeastern Junior College","Sterling","Colorado","South West","NJCAA Region 9","JC"
"Northeastern State University","Tahlequah","Oklahoma","Mid South","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Northeastern University","Boston","Massachusetts","New England","Colonial Athletic Association","NCAA D1"
"Northern Arizona University","Flagstaff","Arizona","South West","Big Sky Conference","NCAA D1"
"Northern Illinois University","DeKalb","Illinois","Great Lakes","Mid-American Conference","NCAA D1"
"Northern Kentucky University","Highland Heights","Kentucky","Mid East","Horizon League","NCAA D1"
"Northern Maine Community College","Presque Isle","Maine","New England","Yankee Small College Conference","JC"
"Northern Michigan University","Marquette","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Northern New Mexico College","Espanola","New Mexico","South West","Continental Athletic Conference","NAIA"
"Northern Oklahoma College","Tonkawa","Oklahoma","Mid South","NJCAA Region 2","JC"
"Northern State University","Aberdeen","South Dakota","North West","Northern Sun Intercollegiate Conference","NCAA D2"
"Northern Vermont University – Johnson","Johnson","Vermont","New England","North Atlantic Conference","NCAA D3"
"Northern Vermont University – Lyndon","Lyndonville","Vermont","New England","North Atlantic Conference","NCAA D3"
"Northern Virginia Community College","Annandale","Virginia","Mid East","NJCAA Region 20","JC"
"Northland College","Ashland","Wisconsin","Great Lakes","Upper Midwest Athletic Conference","NCAA D3"
"Northland Community & Technical College","Thief River Falls","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Northwest College – Wyoming","Powell","Wyoming","North West","NJCAA Region 9","JC"
"Northwest Florida State College","Niceville","Florida","South East","Panhandle Conference","JC"
"Northwest Mississippi Community College","Senatobia","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Northwest Missouri State University","Maryville","Missouri","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Northwest Nazarene University","Nampa","Idaho","North West","Great Northwest Athletic Conference","NCAA D2"
"Northwest University","Kirkland","Washington","West Coast","Cascade Collegiate Conference","NAIA"
"Northwestern College – Iowa","Orange City","Iowa","Mid West","Great Plains Athletic Conference","NAIA"
"Northwestern Oklahoma State University","Alva","Oklahoma","Mid South","Great American Conference","NCAA D2"
"Northwestern State University of Louisiana","Natchitoches","Louisiana","Mid South","Southland Conference","NCAA D1"
"Northwestern University","Evanston","Illinois","Great Lakes","Big Ten Conference","NCAA D1"
"Northwood University – Michigan","Midland","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Norwich University","Northfield","Vermont","New England","Great Northeast Athletic Conference","NCAA D3"
"Notre Dame College","Cleveland","Ohio","Great Lakes","Mountain East Conference","NCAA D2"
"Nova Southeastern University","Fort Lauderdale","Florida","South East","Sunshine State Conference","NCAA D2"
"Nyack College","Nyack","New York","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Oakland City University","Oakland City","Indiana","Great Lakes","River States Conference","NAIA"
"Oakland University","Rochester","Michigan","Great Lakes","Horizon League","NCAA D1"
"Oakton Community College","Des Plaines","Illinois","Great Lakes","Skyway Conference of Community Colleges","JC"
"Oberlin College","Oberlin","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Occidental College","Los Angeles","California","West Coast","Southern California Intercollegiate Athletic Conference","NCAA D3"
"Ocean County College","Toms River","New Jersey","North East","Garden State Athletic Conference","JC"
"Odessa College","Odessa","Texas","Mid South","Western Junior College Athletic Conference","JC"
"Oglethorpe University","Atlanta","Georgia","South East","Southern Collegiate Athletic Conference","NCAA D3"
"Ohio Christian University","Circleville","Ohio","Great Lakes","River States Conference","NAIA"
"Ohio Dominican University","Columbus","Ohio","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Ohio Northern University","Ada","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Ohio State University","Columbus","Ohio","Great Lakes","Big Ten Conference","NCAA D1"
"Ohio University","Athens","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"Ohio University – Zanesville","Zanesville","Ohio","Great Lakes","Ohio Regional Campus Conference","JC"
"Ohio Valley University","Vienna","West Virginia","Mid East","River States Conference","NAIA"
"Ohio Wesleyan University","Delaware","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Oklahoma Baptist University","Shawnee","Oklahoma","Mid South","Great American Conference","NCAA D2"
"Oklahoma Christian University","Edmond","Oklahoma","Mid South","Heartland Conference","NCAA D2"
"Oklahoma City University","Oklahoma City","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"Oklahoma Panhandle State University","Goodwell","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"Oklahoma State University","Stillwater","Oklahoma","Mid South","Big 12 Conference","NCAA D1"
"Oklahoma Wesleyan University","Bartlesville","Oklahoma","Mid South","Kansas Collegiate Athletic Conference","NAIA"
"Old Dominion University","Norfolk","Virginia","Mid East","Conference USA","NCAA D1"
"Olivet College","Olivet","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Olivet Nazarene University","Bourbonnais","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Olney Central College","Olney","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
