"school","city","state","region","conference","division"
"Erskine College","Due West","South Carolina","South East","Conference Carolinas","NCAA D2"
"Essex County College","Newark","New Jersey","North East","Garden State Athletic Conference","JC"
"Eureka College","Eureka","Illinois","Great Lakes","Upper Midwest Athletic Conference","NCAA D3"
"Evangel University","Springfield","Missouri","Mid West","Heart of America Athletic Conference","NAIA"
"Everett Community College","Everett","Washington","West Coast","Northwest Athletic Conference","JC"
"Evergreen State College","Olympia","Washington","West Coast","Cascade Collegiate Conference","NAIA"
"Fairfield University","Fairfield","Connecticut","New England","Metro Atlantic Athletic Conference","NCAA D1"
"Fairleigh Dickinson University","Teaneck","New Jersey","North East","Northeast Conference","NCAA D1"
"Fairleigh Dickinson University – College at Florham","Madison","New Jersey","North East","Middle Atlantic Conferences","NCAA D3"
"Fairmont State University","Fairmont","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"Faulkner University","Montgomery","Alabama","South East","Southern States Athletic Conference","NAIA"
"Fayetteville State University","Fayetteville","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Feather River College","Quincy","California","West Coast","Golden Valley Conference","JC"
"Felician University","Lodi","New Jersey","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Ferris State University","Big Rapids","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Ferrum College","Ferrum","Virginia","Mid East","USA South Athletic Conference","NCAA D3"
"Finger Lakes Community College","Canandaigua","New York","North East","Mid-State Athletic Conference","JC"
"Finlandia University","Hancock","Michigan","Great Lakes","American Collegiate Athletic Association","NCAA D3"
"Fisher College","Boston","Massachusetts","New England","Continental Athletic Conference","NAIA"
"Fisk University","Nashville","Tennessee","Mid East","Gulf Coast Athletic Conference","NAIA"
"Fitchburg State University","Fitchburg","Massachusetts","New England","Commonwealth Coast Football","NCAA D3"
"Flagler College – St. Augustine","Saint Augustine","Florida","South East","Peach Belt Conference","NCAA D2"
"Florida A&M University","Tallahassee","Florida","South East","Southwestern Athletic Conference","NCAA D1"
"Florida Atlantic University","Boca Raton","Florida","South East","Conference USA","NCAA D1"
"Florida College","Temple Terrace","Florida","South East","Continental Athletic Conference","NAIA"
"Florida Gulf Coast University","Fort Myers","Florida","South East","Atlantic Sun Conference","NCAA D1"
"Florida Institute of Technology","Melbourne","Florida","South East","Gulf South Conference","NCAA D2"
"Florida International University","Miami","Florida","South East","Conference USA","NCAA D1"
"Florida Memorial University","Miami Gardens","Florida","South East","Sun Conference","NAIA"
"Florida Southern College","Lakeland","Florida","South East","Sunshine State Conference","NCAA D2"
"Florida State College at Jacksonville","Jacksonville","Florida","South East","Florida College System Activities Association","JC"
"Florida State University","Tallahassee","Florida","South East","Atlantic Coast Conference","NCAA D1"
"Fontbonne University","St. Louis","Missouri","Mid West","St. Louis Intercollegiate Athletic Conference","NCAA D3"
"Fordham University","Bronx","New York","North East","Atlantic 10 Conference","NCAA D1"
"Fort Berthold Community College","New Town","North Dakota","North West","American Higher Education Consortium","JC"
"Fort Hays State University","Hays","Kansas","Mid West","Mid-America Intercollegiate Athletics Association","NCAA D2"
"Fort Lewis College","Durango","Colorado","South West","Rocky Mountain Athletic Conference","NCAA D2"
"Fort Valley State University","Fort Valley","Georgia","South East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Framingham State University","Framingham","Massachusetts","New England","Massachusetts State Collegiate Athletic Conference","NCAA D3"
"Francis Marion University","Florence","South Carolina","South East","Peach Belt Conference","NCAA D2"
"Frank Phillips College","Borger","Texas","Mid South","NJCAA Region 5","JC"
"Franklin & Marshall College","Lancaster","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Franklin College","Franklin","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Franklin Pierce University","Rindge","New Hampshire","New England","Other","NCAA D2"
"Frederick Community College","Frederick","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"Freed-Hardeman University","Henderson","Tennessee","Mid East","Mid-South Conference","NAIA"
"Fresno City College","Fresno","California","West Coast","Central Valley Conference","JC"
"Fresno Pacific University","Fresno","California","West Coast","Pacific West Conference","NCAA D2"
"Friends University","Wichita","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Frostburg State University","Frostburg","Maryland","North East","New Jersey Athletic Conference","NCAA D2"
"Furman University","Greenville","South Carolina","South East","Southern Conference","NCAA D1"
"Gadsden State Community College","Gadsden","Alabama","South East","Alabama Community College Conference","JC"
"Gallaudet University","Washington","District Of Columbia","North East","Eastern Collegiate Football Conference","NCAA D3"
"Gannon University","Erie","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Garden City Community College","Garden City","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Gardner-Webb University","Boiling Springs","North Carolina","Mid East","Big South Conference","NCAA D1"
"Garrett College","McHenry","Maryland","North East","Maryland JUCO Athletic Conference","JC"
"Gateway Community College – Connecticut","New Haven","Connecticut","New England","NJCAA Region 21","JC"
"Geneva College","Beaver Falls","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"George Fox University","Newberg","Oregon","West Coast","Northwest Conference","NCAA D3"
"George Mason University","Fairfax","Virginia","Mid East","Atlantic 10 Conference","NCAA D1"
"George Washington University","Washington","District Of Columbia","North East","Atlantic 10 Conference","NCAA D1"
"Georgetown College","Georgetown","Kentucky","Mid East","Mid-South Conference","NAIA"
"Georgetown University","Washington","District Of Columbia","North East","Big East Conference","NCAA D1"
"Georgia College & State University","Milledgeville","Georgia","South East","Peach Belt Conference","NCAA D2"
"Georgia Southern University","Statesboro","Georgia","South East","Sun Belt Conference","NCAA D1"
"Georgia Southwestern State University","Americus","Georgia","South East","Peach Belt Conference","NCAA D2"
"Georgia State University","Atlanta","Georgia","South East","Sun Belt Conference","NCAA D1"
"Georgia Tech","Atlanta","Georgia","South East","Atlantic Coast Conference","NCAA D1"
"Georgian Court University","Lakewood","New Jersey","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Gettysburg College","Gettysburg","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Glen Oaks Community College","Centreville","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Glendale Community College – Arizona","Glendale","Arizona","South West","Arizona Community College Athletic Association","JC"
"Glenville State College","Glenville","West Virginia","Mid East","Mountain East Conference","NCAA D2"
"Gogebic Community College","Ironwood","Michigan","Great Lakes","Michigan Community College Association","JC"
"Goldey-Beacom College","Wilmington","Delaware","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Gonzaga University","Spokane","Washington","West Coast","West Coast Conference","NCAA D1"
"Gordon College","Wenham","Massachusetts","New England","Commonwealth Coast Conference","NCAA D3"
"Gordon State College","Barnesville","Georgia","South East","Georgia Collegiate Athletic Association","JC"
"Goshen College","Goshen","Indiana","Great Lakes","Crossroads League","NAIA"
"Goucher College","Baltimore","Maryland","North East","Landmark Conference","NCAA D3"
"Grace College","Winona Lake","Indiana","Great Lakes","Crossroads League","NAIA"
"Graceland University","Lamoni","Iowa","Mid West","Heart of America Athletic Conference","NAIA"
"Grambling State University","Grambling","Louisiana","Mid South","Southwestern Athletic Conference","NCAA D1"
"Grand Canyon University","Phoenix","Arizona","South West","Western Athletic Conference","NCAA D1"
"Grand Rapids Community College","Grand Rapids","Michigan","Great Lakes","Georgia Collegiate Athletic Association","JC"
"Grand Valley State University","Allendale","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Grand View University","Des Moines","Iowa","Mid West","Heart of America Athletic Conference","NAIA"
"Grays Harbor College","Aberdeen","Washington","West Coast","Northwest Athletic Conference","JC"
"Grayson College","Denison","Texas","Mid South","North Texas Junior College Athletic Conference","JC"
"Great Bay Community College","Portsmouth","New Hampshire","New England","Yankee Small College Conference","JC"
"Greensboro College","Greensboro","North Carolina","Mid East","USA South Athletic Conference","NCAA D3"
"Greenville University","Greenville","Illinois","Great Lakes","Upper Midwest Athletic Conference","NCAA D3"
"Grinnell College","Grinnell","Iowa","Mid West","Midwest Conference","NCAA D3"
"Grove City College","Grove City","Pennsylvania","North East","Presidents' Athletic Conference","NCAA D3"
"Guilford College","Greensboro","North Carolina","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Gulf Coast State College","Panama City","Florida","South East","Panhandle Conference","JC"
"Gustavus Adolphus College","Saint Peter","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Gwynedd Mercy University","Gwynedd Valley","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Hagerstown Community College","Hagerstown","Maryland","North East","Maryland Junior College Conference","JC"
"Hamilton College","Clinton","New York","North East","New England Small College Athletic Conference","NCAA D3"
"Hamline University","Saint Paul","Minnesota","Mid West","Minnesota Intercollegiate Athletic Conference","NCAA D3"
"Hampden-Sydney College","Hampden Sydney","Virginia","Mid East","Old Dominion Athletic Conference","NCAA D3"
"Hampton University","Hampton","Virginia","Mid East","Big South Conference","NCAA D1"
"Hannibal-LaGrange University","Hannibal","Missouri","Mid West","American Midwest Conference","NAIA"
"Hanover College","Hanover","Indiana","Great Lakes","Heartland Collegiate Athletic Conference","NCAA D3"
"Harcum College","Bryn Mawr","Pennsylvania","North East","NJCAA Region 19","JC"
"Hardin-Simmons University","Abilene","Texas","Mid South","American Southwest Conference","NCAA D3"
"Harding University","Searcy","Arkansas","Mid South","Great American Conference","NCAA D2"
"Harford Community College","Bel Air","Maryland","North East","Maryland Junior College Athletic Conference","JC"
"Harper College","Palatine","Illinois","Great Lakes","North Central Community College Conference","JC"
"Harris-Stowe State University","Saint Louis","Missouri","Mid West","American Midwest Conference","NAIA"
"Harrisburg Area Community College","Harrisburg","Pennsylvania","North East","Eastern Pennsylvania Athletic Conference","JC"
"Hartwick College","Oneonta","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Harvard University","Cambridge","Massachusetts","New England","Ivy League","NCAA D1"
"Hastings College","Hastings","Nebraska","Mid West","Great Plains Athletic Conference","NAIA"
"Haverford College","Haverford","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Hawaii Pacific University","Honolulu","Hawaii","West Coast","Pacific West Conference","NCAA D2"
"Heidelberg University","Tiffin","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"Henderson State University","Arkadelphia","Arkansas","Mid South","Great American Conference","NCAA D2"
"Hendrix College","Conway","Arkansas","Mid South","Southern Collegiate Athletic Conference","NCAA D3"
"Henry Ford College","Dearborn","Michigan","Great Lakes","Michigan Community College Athletic Association","JC"
"Hesston College","Hesston","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Hibbing Community College – A Technical & Community College","Hibbing","Minnesota","Mid West","Minnesota Community College Conference","JC"
"High Point University","High Point","North Carolina","Mid East","Big South Conference","NCAA D1"
"Highland Community College – Illinois","Freeport","Illinois","Great Lakes","Arrowhead Conference","JC"
"Highland Community College – Kansas","Highland","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Highline College","Des Moines","Washington","West Coast","Northwest Athletic Conference","JC"
"Hill College","Hillsboro","Texas","Mid South","North Texas Junior College Athletic Conference","JC"
"Hillsborough Community College","Tampa","Florida","South East","Florida College System Activities Association","JC"
"Hillsdale College","Hillsdale","Michigan","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Hinds Community College","Raymond","Mississippi","Mid South","NJCAA Region 23","JC"
"Hiram College","Hiram","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Hobart & William Smith Colleges","Geneva","New York","North East","Liberty League","NCAA D3"
"Hobart & William Smith Colleges (Hobart)","Geneva","New York","North East","Liberty League","NCAA D3"
"Hofstra University","Hempstead","New York","North East","Colonial Athletic Association","NCAA D1"
"Holmes Community College","Goodman","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Holy Family University","Philadelphia","Pennsylvania","North East","Central Atlantic Collegiate Conference","NCAA D2"
"Holy Names University","Oakland","California","West Coast","Pacific West Conference","NCAA D2"
"Holyoke Community College","Holyoke","Massachusetts","New England","Massachusetts Community College Athletic Conference","JC"
"Hood College","Frederick","Maryland","North East","MAC Commonwealth Conference","NCAA D3"
"Hope College","Holland","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Hope International University","Fullerton","California","West Coast","Golden State Athletic Conference","NAIA"
"Houghton College","Houghton","New York","North East","Empire 8 Athletic Conference","NCAA D3"
"Houston Baptist University","Houston","Texas","Mid South","Southland Conference","NCAA D1"
"Howard College","Big Spring","Texas","Mid South","Western Junior College Athletic Conference","JC"
"Howard Community College","Columbia","Maryland","North East","Maryland JUCO Athletic Conference","JC"
"Howard Payne University","Brownwood","Texas","Mid South","American Southwest Conference","NCAA D3"
"Howard University","Washington","District Of Columbia","North East","Mid-Eastern Athletic Conference","NCAA D1"
"Humboldt State University","Arcata","California","West Coast","California Collegiate Athletic Association","NCAA D2"
"Huntingdon College","Montgomery","Alabama","South East","USA South Athletic Conference","NCAA D3"
"Huntington University","Huntington","Indiana","Great Lakes","Crossroads League","NAIA"
"Husson University","Bangor","Maine","New England","Eastern Collegiate Football Conference","NCAA D3"
"Huston-Tillotson University","Austin","Texas","Mid South","Red River Athletic Conference","NAIA"
"Hutchinson Community College","Hutchinson","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Idaho State University","Pocatello","Idaho","North West","Big Sky Conference","NCAA D1"
"Illinois Central College","East Peoria","Illinois","Great Lakes","Mid-West Athletic Conference","JC"
"Illinois College","Jacksonville","Illinois","Great Lakes","Midwest Conference","NCAA D3"
"Illinois Institute of Technology","Chicago","Illinois","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Illinois State University","Normal","Illinois","Great Lakes","Missouri Valley Conference","NCAA D1"
"Illinois Valley Community College","Oglesby","Illinois","Great Lakes","Arrowhead Conference","JC"
"Illinois Wesleyan University","Bloomington","Illinois","Great Lakes","College Conference of Illinois and Wisconsin","NCAA D3"
"Immaculata University","Immaculata","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"Independence Community College","Independence","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Indian Hills Community College","Ottumwa","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Indian River State College","Fort Pierce","Florida","South East","Florida College System Activities Association","JC"
"Indiana Institute of Technology","Fort Wayne","Indiana","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Indiana State University","Terre Haute","Indiana","Great Lakes","Missouri Valley Football Conference","NCAA D1"
"Indiana University","Bloomington","Indiana","Great Lakes","Big Ten Conference","NCAA D1"
"Indiana University – East","Richmond","Indiana","Great Lakes","River States Conference","NAIA"
"Indiana University – Kokomo","Kokomo","Indiana","Great Lakes","River States Conference","NAIA"
"Indiana University – Northwest","Gary","Indiana","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Indiana University – South Bend","South Bend","Indiana","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Indiana University – Southeast","New Albany","Indiana","Great Lakes","River States Conference","NAIA"
"Indiana University of Pennsylvania","Indiana","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Indiana University-Purdue University – Indianapolis (IUPUI)","Indianapolis","Indiana","Great Lakes","Horizon League","NCAA D1"
"Indiana Wesleyan University","Marion","Indiana","Great Lakes","Crossroads League","NAIA"
"Iona College","New Rochelle","New York","North East","Metro Atlantic Athletic Conference","NCAA D1"
"Iowa Central Community College","Fort Dodge","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Iowa Lakes Community College – Estherville Campus","Emmetsburg","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Iowa State University","Ames","Iowa","Mid West","Big 12 Conference","NCAA D1"
"Iowa Wesleyan University","Mount Pleasant","Iowa","Mid West","Continental Athletic Conference","NAIA"
"Iowa Western Community College","Council Bluffs","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Itasca Community College","Grand Rapids","Minnesota","Mid West","Minnesota College Athletic Conference","JC"
"Itawamba Community College — Fulton Campus","Fulton","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Ithaca College","Ithaca","New York","North East","Liberty League","NCAA D3"
"Jackson State Community College","Jackson","Tennessee","Mid East","Tennessee Community College Athletic Association ","JC"
"Jackson State University","Jackson","Mississippi","Mid South","Southwestern Athletic Conference","NCAA D1"
"Jacksonville College","Jacksonville","Texas","Mid South","NJCAA Region 14","JC"
"Jacksonville State University","Jacksonville","Alabama","South East","ASUN Conference","NCAA D1"
"Jacksonville University","Jacksonville","Florida","South East","ASUN Conference","NCAA D1"
"James Madison University","Harrisonburg","Virginia","Mid East","Colonial Athletic Association","NCAA D1"
"Jarvis Christian College","Hawkins","Texas","Mid South","Red River Athletic Conference","NAIA"
"John A Logan College","Carterville","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"John Brown University","Siloam Springs","Arkansas","Mid South","Sooner Athletic Conference","NAIA"
"John Carroll University","University Heights","Ohio","Great Lakes","Ohio Athletic Conference","NCAA D3"
"John Wood Community College","Quincy","Illinois","Great Lakes","Mid West Athletic Conference","JC"
"Johns Hopkins University","Baltimore","Maryland","North East","Centennial Conference","NCAA D3"
"Johnson & Wales University – Providence","Providence","Rhode Island","New England","Great Northeast Athletic Conference","NCAA D3"
"Johnson C. Smith University","Charlotte","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Johnson University","Knoxville","Tennessee","Mid East","Appalachian Athletic Conference (AAC)","NAIA"
"Joliet Junior College","Joliet","Illinois","Great Lakes","North Central Community College Conference","JC"
"Jones County Junior College","Ellisville","Mississippi","Mid South","Mississippi Association of Community Colleges Conference","JC"
"Judson University","Elgin","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Juniata College","Huntingdon","Pennsylvania","North East","Centennial Conference","NCAA D3"
"Kalamazoo College","Kalamazoo","Michigan","Great Lakes","Michigan Intercollegiate Athletic Association","NCAA D3"
"Kalamazoo Valley Community College","Kalamazoo","Michigan","Great Lakes","Michigan Community College Athletics Association","JC"
"Kankakee Community College","Kankakee","Illinois","Great Lakes","NJCAA Region 4","JC"
"Kansas City Kansas Community College","Kansas City","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Kansas State University","Manhattan","Kansas","Mid West","Big 12 Conference","NCAA D1"
"Kansas Wesleyan University","Salina","Kansas","Mid West","Kansas Collegiate Athletic Conference","NAIA"
"Kaskaskia College","Centralia","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Kean University","Union","New Jersey","North East","New Jersey Athletic Conference","NCAA D3"
"Keene State College","Keene","New Hampshire","New England","Little East Conference","NCAA D3"
"Keiser University","West Palm Beach","Florida","South East","Sun Conference","NAIA"
"Kellogg Community College","Battle Creek","Michigan","Great Lakes","Michigan Community College Athletics Association","JC"
"Kennesaw State University","Kennesaw","Georgia","South East","Atlantic Sun Conference","NCAA D1"
"Kent State University","Kent","Ohio","Great Lakes","Mid-American Conference","NCAA D1"
"Kentucky Christian University","Grayson","Kentucky","Mid East","Appalachian Athletic Conference","NAIA"
"Kentucky State University","Frankfort","Kentucky","Mid East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Kentucky Wesleyan College","Owensboro","Kentucky","Mid East","Great Midwest Athletic Conference","NCAA D2"
"Kenyon College","Gambier","Ohio","Great Lakes","North Coast Athletic Conference","NCAA D3"
"Keuka College","Keuka Park","New York","North East","North Eastern Athletic Conference","NCAA D3"
"Keystone College","La Plume","Pennsylvania","North East","Colonial States Athletic Conference","NCAA D3"
"King University – Tennessee","Bristol","Tennessee","Mid East","Conference Carolinas","NCAA D2"
"King's College – Pennsylvania","Wilkes-Barre","Pennsylvania","North East","Middle Atlantic Conference","NCAA D3"
"Kirkwood Community College","Cedar Rapids","Iowa","Mid West","Iowa Community College Athletic Conference","JC"
"Knox College","Galesburg","Illinois","Great Lakes","Midwest Conference","NCAA D3"
"Kutztown University of Pennsylvania","Kutztown","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"La Salle University","Philadelphia","Pennsylvania","North East","Atlantic 10 Conference","NCAA D1"
"La Sierra University","Riverside","California","West Coast","California Pacific Conference","NAIA"
"Labette Community College","Parsons","Kansas","Mid West","Kansas Jayhawk Community College Conference","JC"
"Lackawanna College","Scranton","Pennsylvania","North East","NJCAA Region 19","JC"
"Lafayette College","Easton","Pennsylvania","North East","Patriot League","NCAA D1"
"LaGrange College","LaGrange","Georgia","South East","USA South Athletic Conference","NCAA D3"
"Lake Erie College","Painesville","Ohio","Great Lakes","Great Midwest Athletic Conference","NCAA D2"
"Lake Forest College","Lake Forest","Illinois","Great Lakes","Midwest Conference","NCAA D3"
"Lake Land College","Mattoon","Illinois","Great Lakes","Collegiate Conference of Central Illinois","JC"
"Lake Michigan College","Benton Harbor","Michigan","Great Lakes","Michigan Community College Athletics Association","JC"
"Lake Region State College","Devils Lake","North Dakota","North West","Mon-Dak Athletic Conference","JC"
"Lake Superior State University","Sault Ste Marie","Michigan","Great Lakes","Great Lakes Intercollegiate Athletic Conference","NCAA D2"
"Lakeland Community College","Kirtland","Ohio","Great Lakes","Ohio Community College Athletic Conference","JC"
"Lakeland University","Plymouth","Wisconsin","Great Lakes","Northern Athletics Collegiate Conference","NCAA D3"
"Lamar Community College","Lamar","Colorado","South West","NJCAA Region 9","JC"
"Lamar University","Beaumont","Texas","Mid South","Western Athletic Conference","NCAA D1"
"Lancaster Bible College","Lancaster","Pennsylvania","North East","North Eastern Athletic Conference","NCAA D3"
"Lander University","Greenwood","South Carolina","South East","Peach Belt Conference","NCAA D2"
"Lane College","Jackson","Tennessee","Mid East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Lane Community College","Eugene","Oregon","West Coast","Northwest Athletic Conference","JC"
"Langston University","Langston","Oklahoma","Mid South","Sooner Athletic Conference","NAIA"
"Lansing Community College","Lansing","Michigan","Great Lakes","Michigan Community College Athletics Association","JC"
"Laramie County Community College","Cheyenne","Wyoming","North West","NJCAA Region 9","JC"
"Lasell University","Newton","Massachusetts","New England","Great Northeast Athletic Conference","NCAA D3"
"Lassen Community College","Susanville","California","West Coast","California Community College Athletic Association","JC"
"Lawrence Technological University","Southfield","Michigan","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Lawrence University","Appleton","Wisconsin","Great Lakes","Midwest Conference","NCAA D3"
"Lawson State Community College – Birmingham","Birmingham","Alabama","South East","Alabama Community College Conference","JC"
"Le Moyne College","Syracuse","New York","North East","Northeast-10 Conference","NCAA D2"
"Lebanon Valley College","Annville","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Lee University","Cleveland","Tennessee","Mid East","Gulf South Conference","NCAA D2"
"Lees-McRae College","Banner Elk","North Carolina","Mid East","Conference Carolinas","NCAA D2"
"Lehigh Carbon Community College","Schnecksville","Pennsylvania","North East","Eastern Pennsylvania Collegiate Conference","JC"
"Lehigh University","Bethlehem","Pennsylvania","North East","Patriot League","NCAA D1"
"LeMoyne-Owen College","Memphis","Tennessee","Mid East","Southern Intercollegiate Athletic Conference","NCAA D2"
"Lenoir Community College","Kinston","North Carolina","Mid East","NJCAA Region 10","JC"
"Lenoir-Rhyne University","Hickory","North Carolina","Mid East","South Atlantic Conference","NCAA D2"
"Lesley University","Cambridge","Massachusetts","New England","New England Collegiate Conference","NCAA D3"
"Lewis & Clark College","Portland","Oregon","West Coast","Northwest Conference","NCAA D3"
"Lewis & Clark Community College","Godfrey","Illinois","Great Lakes","Mid-West Athletic Conference","JC"
"Lewis University","Romeoville","Illinois","Great Lakes","Great Lakes Valley Conference","NCAA D2"
"Lewis-Clark State College","Lewiston","Idaho","North West","Cascade Collegiate Conference","NAIA"
"Liberty University","Lynchburg","Virginia","Mid East","ASUN Conference ","NCAA D1"
"Life University","Marietta","Georgia","South East","Mid-South Conference","NAIA"
"Limestone University","Gaffney","South Carolina","South East","South Atlantic Conference","NCAA D2"
"Lincoln Christian University","Lincoln","Illinois","Great Lakes","Continental Athletic Conference","NAIA"
"Lincoln College","Lincoln","Illinois","Great Lakes","Chicagoland Collegiate Athletic Conference","NAIA"
"Lincoln Land Community College","Springfield","Illinois","Great Lakes","Mid-West Athletic Conference","JC"
"Lincoln Memorial University","Harrogate","Tennessee","Mid East","South Atlantic Conference","NCAA D2"
"Lincoln Trail College","Robinson","Illinois","Great Lakes","Great Rivers Athletic Conference","JC"
"Lincoln University – Missouri","Jefferson City","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Lincoln University Pennsylvania","Lincoln University","Pennsylvania","North East","Central Intercollegiate Athletic Association","NCAA D2"
"Lindenwood University","Saint Charles","Missouri","Mid West","Great Lakes Valley Conference","NCAA D2"
"Lindsey Wilson College","Columbia","Kentucky","Mid East","Mid-South Conference","NAIA"
"Linfield University","McMinnville","Oregon","West Coast","Northwest Conference","NCAA D3"
"Linn-Benton Community College","Albany","Oregon","West Coast","Northwest Athletic Conference","JC"
"Lipscomb University","Nashville","Tennessee","Mid East","ASUN Conference ","NCAA D1"
"Little Priest Tribal College","Winnebago","Nebraska","Mid West","ICCAC","JC"
"Livingstone College","Salisbury","North Carolina","Mid East","Central Intercollegiate Athletic Association","NCAA D2"
"Lock Haven University","Lock Haven","Pennsylvania","North East","Pennsylvania State Athletic Conference","NCAA D2"
"Long Island University","Brooklyn","New York","North East","Northeast Conference","NCAA D1"
"Longwood University","Farmville","Virginia","Mid East","Big South Conference","NCAA D1"
"Loras College","Dubuque","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Los Angeles Harbor College","Wilmington","California","West Coast","Western State Conference","JC"
"Los Angeles Southwest College","Los Angeles","California","West Coast","Western State Conference","JC"
"Los Angeles Trade – Technical College","Los Angeles","California","West Coast","Western State Conference","JC"
"Louisburg College","Louisburg","North Carolina","Mid East","NJCAA Region 10","JC"
"Louisiana College","Pineville","Louisiana","Mid South","Red River Athletic Conference","NAIA"
"Louisiana State University – Alexandria","Alexandria","Louisiana","Mid South","Red River Athletic Conference","NAIA"
"Louisiana State University – Shreveport","Shreveport","Louisiana","Mid South","Red River Athletic Conference","NAIA"
"Louisiana State University (LSU)","Baton Rouge","Louisiana","Mid South","Southeastern Conference","NCAA D1"
"Louisiana Tech University","Ruston","Louisiana","Mid South","Conference USA","NCAA D1"
"Lourdes University","Sylvania","Ohio","Great Lakes","Wolverine-Hoosier Athletic Conference","NAIA"
"Lower Columbia College","Longview","Washington","West Coast","Northwest Athletic Conference","JC"
"Loyola Marymount University","Los Angeles","California","West Coast","West Coast Conference","NCAA D1"
"Loyola University Chicago","Chicago","Illinois","Great Lakes","Missouri Valley Conference","NCAA D1"
"Loyola University Maryland","Baltimore","Maryland","North East","Patriot League","NCAA D1"
"Loyola University New Orleans","New Orleans","Louisiana","Mid South","Southern States Athletic Conference","NAIA"
"Lubbock Christian University","Lubbock","Texas","Mid South","Heartland Conference","NCAA D2"
"Lurleen B Wallace Community College","Andalusia","Alabama","South East","Alabama Community College Conference","JC"
"Luther College","Decorah","Iowa","Mid West","Iowa Intercollegiate Athletic Conference","NCAA D3"
"Luzerne County Community College","Nanticoke","Pennsylvania","North East","Eastern Pennsylvania Athletic Conference","JC"
"Lycoming College","Williamsport","Pennsylvania","North East","Middle Atlantic Conferences","NCAA D3"
"Lynn University","Boca Raton","Florida","South East","Sunshine State Conference","NCAA D2"
"Lyon College","Batesville","Arkansas","Mid South","American Midwest Conference","NAIA"
"Macalester College","Saint Paul","Minnesota","Mid West","Midwest Conference","NCAA D3"
"Macomb Community College","Warren","Michigan","Great Lakes","Michigan Community College Athletics Association","JC"
"Madison College","Madison","Wisconsin","Great Lakes","North Central Community College Conference","JC"
